time,speed,gradient
0,0,0
6.673,3.6,0
14.751,3.6,0.997542
17.493,3.6,0.306127
20.88,3.6,0
24.964,3.6,0
28.585,3.6,-0
30.636,5,-0
39.409,5,0.0267792
47.368,4.4,-0
49.019,4.2,-0
50.996,2.2,-0
65.682,2.2,0
80.16,2.2,-0
85.127,2.2,0.258252
91.031,3.3,0
104.49,3.3,0
110.136,3.3,-0
135.908,2.5,-0.0131572
141.292,3.3,-0
144.499,3.3,-0
148.47,3.3,0
151.162,4.4,-0
154.289,4.2,0
158.31,4.2,0
174.686,4.2,0.0523792
178.459,6.7,-0
182.444,7.2,0
186.482,7.2,0
193.451,7.8,-0.30607
199.338,7.8,-0.847465
202.226,9.4,-0
211.924,9.4,-0.0503775
215.63,9.4,-0
218.602,10.3,-0
224.277,10.3,-0.0762978
227.721,10.3,-0
229.619,10.8,-0
230.934,10.8,-0
236.129,9.7,0.159738
238.236,9.7,-0
240.412,9.7,0
241.504,8.3,-0
242.81,8.6,0
244.199,8.6,0
245.263,8.6,-0
246.391,8.6,0.197393
249.159,8.6,0
254.644,8.3,0
256.67,8.3,-0
257.683,8.3,-0
258.594,8.3,-0
260.731,8.3,0
261.736,8.3,-0
262.717,8.3,-0
264.215,8.3,0
265.388,8.3,-0
266.336,8.3,-0
267.613,8.3,0
268.965,8.3,0
271.7,8.3,0
274.557,8.3,0
277.314,8.3,1.46592
278.796,8.3,-0
280.284,8.3,0
286.711,8.3,0
309.384,2.5,-1.21609
311.329,5.3,-0
312.902,5.3,-0
313.222,5.8,-0
313.515,5.8,0
315.94,5.6,0
324.114,5.6,0
325.982,5.3,-0
327.525,5.3,-0
331.894,3.3,-0
334.026,3.3,-0
348.566,3.3,-0.0627195
360.862,3.3,-0
363.061,3.3,-0
366.09,3.3,-0
374.112,3.1,0
374.745,4.4,-0
380.601,4.4,-0.0301633
383.631,4.4,-0.0718761
388.196,5.8,0
392.651,5.8,0
396.909,5.8,-0
403.861,5.8,0
405.235,5.8,-0
408.116,8.1,-0
411.086,8.1,0.005917
415.044,8.1,0
418.935,8.1,-1.0637
420.897,8.1,-0
422.895,8.1,0
428.376,3.6,0
430.728,3.6,-0
432.855,3.6,-0
437.903,3.6,0
440.989,3.6,-0.183622
443.805,3.6,-0
444.434,3.6,-0
451.97,3.6,0
454.463,3.6,-0
458.537,7.8,0
460.232,7.8,-0
