time_sec,speed_kmph,gradient_rad,energy_consumption_kw,energy_consumption_kWh
0,0,0,0,0
1,1.94215,0,0.587129,0.000163091
2,3.88431,0,1.17455,0.000489355
3,5.82646,0,1.76255,0.000978951
4,7.76862,0,2.35141,0.00163212
5,9.71077,0,2.94144,0.00244919
6,11.6529,0,3.05296,0.00329723
7,12.96,0.0403808,4.1611,0.00445309
8,12.96,0.16387,10.3403,0.0073254
9,12.96,0.287358,17.4608,0.0121756
10,12.96,0.410847,24.3156,0.01893
11,12.96,0.534336,30.8003,0.0274856
12,12.96,0.657824,36.8161,0.0377123
13,12.96,0.781313,42.2715,0.0494544
14,12.96,0.904802,47.0832,0.0625331
15,12.96,0.934755,48.1449,0.0759066
16,12.96,0.682598,37.9583,0.0864506
17,12.96,0.43044,25.3718,0.0934983
18,12.96,0.260303,15.9198,0.0979205
19,12.96,0.16992,10.6937,0.100891
20,12.96,0.079537,5.38049,0.102386
21,12.96,0,0.66717,0.102571
22,12.96,0,0.66717,0.102756
23,12.96,0,0.66717,0.102942
24,12.96,0,0.66717,0.103127
25,12.96,0,0.66717,0.103312
26,12.96,0,0.66717,0.103498
27,12.96,0,0.66717,0.103683
28,12.96,0,1.52431,0.104106
29,13.9798,0,3.8747,0.105183
30,16.4371,0,5.14279,0.106611
31,18,0.00111109,2.86114,0.107406
32,18,0.00416355,1.28831,0.107764
33,18,0.00721601,1.5399,0.108191
34,18,0.0102685,1.79147,0.108689
35,18,0.0133209,2.04303,0.109257
36,18,0.0163734,2.29457,0.109894
37,18,0.0194258,2.54609,0.110601
38,18,0.0224783,2.79758,0.111378
39,18,0.0255307,2.86181,0.112173
40,17.8396,0.0247907,2.46123,0.112857
41,17.5682,0.0214261,2.02566,0.11342
42,17.2968,0.0180614,1.72689,0.113899
43,17.0254,0.0146968,1.43651,0.114298
44,16.754,0.0113321,1.15452,0.114619
45,16.4827,0.00796748,0.880913,0.114864
46,16.2113,0.00460283,0.615704,0.115035
47,15.9399,0.00123819,0.251281,0.115105
48,15.5644,0,-0.0103587,0.115102
49,15.1283,0,-3.15637,0.114225
50,11.5473,0,-4.80635,0.11289
51,7.92,0,-1.46091,0.112484
52,7.92,0,0.402224,0.112596
53,7.92,0,0.402224,0.112708
54,7.92,0,0.402224,0.112819
55,7.92,0,0.402224,0.112931
56,7.92,0,0.402224,0.113043
57,7.92,0,0.402224,0.113154
58,7.92,0,0.402224,0.113266
59,7.92,0,0.402224,0.113378
60,7.92,0,0.402224,0.11349
61,7.92,0,0.402224,0.113601
62,7.92,0,0.402224,0.113713
63,7.92,0,0.402224,0.113825
64,7.92,0,0.402224,0.113937
65,7.92,0,0.402224,0.114048
66,7.92,0,0.402224,0.11416
67,7.92,0,0.402224,0.114272
68,7.92,0,0.402224,0.114383
69,7.92,0,0.402224,0.114495
70,7.92,0,0.402224,0.114607
71,7.92,0,0.402224,0.114719
72,7.92,0,0.402224,0.11483
73,7.92,0,0.402224,0.114942
74,7.92,0,0.402224,0.115054
75,7.92,0,0.402224,0.115166
76,7.92,0,0.402224,0.115277
77,7.92,0,0.402224,0.115389
78,7.92,0,0.402224,0.115501
79,7.92,0,0.402224,0.115612
80,7.92,0,0.402224,0.115724
81,7.92,0.0436746,1.98534,0.116276
82,7.92,0.0956681,3.86483,0.117349
83,7.92,0.147662,5.73387,0.118942
84,7.92,0.199655,7.58743,0.12105
85,7.92,0.251649,9.72126,0.12375
86,8.50555,0.220065,9.6176,0.126422
87,9.17628,0.176323,8.62946,0.128819
88,9.84701,0.132582,7.31559,0.130851
89,10.5177,0.0888397,5.72367,0.132441
90,11.1885,0.0450979,3.85546,0.133512
91,11.8592,0.001356,1.21387,0.133849
92,11.88,0,0.625492,0.134022
93,11.88,0,0.609472,0.134192
94,11.88,0,0.609472,0.134361
95,11.88,0,0.609472,0.13453
96,11.88,0,0.609472,0.1347
97,11.88,0,0.609472,0.134869
98,11.88,0,0.609472,0.135038
99,11.88,0,0.609472,0.135208
100,11.88,0,0.609472,0.135377
101,11.88,0,0.609472,0.135546
102,11.88,0,0.609472,0.135715
103,11.88,0,0.609472,0.135885
104,11.88,0,0.609472,0.136054
105,11.88,0,0.609472,0.136223
106,11.88,0,0.609472,0.136393
107,11.88,0,0.609472,0.136562
108,11.88,0,0.609472,0.136731
109,11.88,0,0.609472,0.136901
110,11.88,0,0.535084,0.137049
111,11.7834,-0.000441092,0.421358,0.137166
112,11.6717,-0.000951615,0.378369,0.137271
113,11.56,-0.00146214,0.347523,0.137368
114,11.4482,-0.00197266,0.317205,0.137456
115,11.3365,-0.00248318,0.287415,0.137536
116,11.2247,-0.00299371,0.258153,0.137608
117,11.113,-0.00350423,0.229419,0.137671
118,11.0012,-0.00401475,0.201213,0.137727
119,10.8895,-0.00452528,0.173535,0.137775
120,10.7777,-0.0050358,0.146384,0.137816
121,10.666,-0.00554632,0.119761,0.137849
122,10.5542,-0.00605685,0.0936665,0.137875
123,10.4425,-0.00656737,0.0680992,0.137894
124,10.3307,-0.00707789,0.0430595,0.137906
125,10.219,-0.00758841,0.0185474,0.137911
126,10.1072,-0.00809894,-0.0054371,0.13791
127,9.99546,-0.00860946,-0.0288941,0.137902
128,9.88371,-0.00911998,-0.0518238,0.137887
129,9.77196,-0.00963051,-0.074226,0.137867
130,9.66021,-0.010141,-0.0961008,0.13784
131,9.54847,-0.0106516,-0.117448,0.137807
132,9.43672,-0.0111621,-0.138269,0.137769
133,9.32497,-0.0116726,-0.158562,0.137725
134,9.21322,-0.0121831,-0.178328,0.137675
135,9.10147,-0.0126936,-0.16245,0.13763
136,9.04921,-0.0129324,0.208044,0.137688
137,9.58413,-0.0104886,0.693197,0.137881
138,10.119,-0.00804486,0.845836,0.138116
139,10.654,-0.0056011,1.01056,0.138396
140,11.1889,-0.00315734,1.18738,0.138726
141,11.7238,-0.000713578,1.08834,0.139029
142,11.88,0,0.729815,0.139231
143,11.88,0,0.609472,0.139401
144,11.88,0,0.609472,0.13957
145,11.88,0,0.609472,0.139739
146,11.88,0,0.609472,0.139908
147,11.88,0,0.609472,0.140078
148,11.88,0,1.21016,0.140414
149,12.6596,0,2.49891,0.141108
150,14.1307,0,3.42655,0.14206
151,15.6017,0,2.34522,0.142711
152,15.647,0,0.625793,0.142885
153,15.4168,0,0.340297,0.14298
154,15.1865,0,0.495747,0.143117
155,15.12,0,0.719155,0.143317
156,15.12,0,0.784406,0.143535
157,15.12,0,0.784406,0.143753
158,15.12,0,0.784406,0.143971
159,15.12,0.00220699,0.937215,0.144231
160,15.12,0.00540552,1.15867,0.144553
161,15.12,0.00860406,1.38011,0.144936
162,15.12,0.0118026,1.60154,0.145381
163,15.12,0.0150011,1.82295,0.145888
164,15.12,0.0181997,2.04434,0.146455
165,15.12,0.0213982,2.26572,0.147085
166,15.12,0.0245967,2.48707,0.147776
167,15.12,0.0277953,2.70839,0.148528
168,15.12,0.0309938,2.92969,0.149342
169,15.12,0.0341923,3.15096,0.150217
170,15.12,0.0373909,3.37219,0.151154
171,15.12,0.0405894,3.59339,0.152152
172,15.12,0.0437879,3.81456,0.153212
173,15.12,0.0469865,4.03568,0.154333
174,15.12,0.050185,4.99123,0.155719
175,15.869,0.0480201,7.53878,0.157813
176,18.2544,0.0341374,9.46002,0.160441
177,20.6397,0.0202548,9.39757,0.163051
178,23.0251,0.00637213,7.47392,0.165127
179,24.3644,0,4.15248,0.166281
180,24.8161,0,2.80465,0.16706
181,25.2678,0,2.85947,0.167854
182,25.7194,0,2.49558,0.168548
183,25.92,0,1.75751,0.169036
184,25.92,0,1.42039,0.16943
